FilingName,Exchange,Ticker,Dismissed,SettlementAmount,FilingYear
"Choice Hotels International, Inc.",New York SE,CHH,Yes,#NULL!,2007
Chesapeake Energy Corporation,New York SE,CHK,Yes,#NULL!,2009
"Lender Processing Services, Inc.",New York SE,LPS,No,"$14,000,000.00",2010
Mediacom Communications Corp.,NASDAQ,MCCC,Yes,#NULL!,2010
China Natural Gas Inc.,Pink Sheets,CHNG,Ongoing,#NULL!,2010
"Frazer Frost, LLP (Frost, PLLC) : China Natural Gas' Financial Statements",Pink Sheets,CHNG,Ongoing,#NULL!,2012
"China Gerui Advanced Materials Group, Ltd.",NASDAQ,CHOP,Ongoing,#NULL!,2014
"Medivation, Inc.",NASDAQ,MDVN,Yes,#NULL!,2010
Massey ENERGY COMPANY,New York SE,MEE,No,"$265,000,000.00",2010
Chelsea Therapeutics International Ltd.,NASDAQ,CHTP,Ongoing,#NULL!,2014
"Charter Communications, Inc.",NASDAQ,CHTR,Yes,#NULL!,2009
Calamos Global Dynamic INCOME FUND : Auction Rate Cumulative Preferred Shares,New York SE,CHW,Yes,#NULL!,2008
Charys Holding Company,OTC-BB,CHYS,Yes,#NULL!,2008
